blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19148330,1706969387,0x78141f7f5bbc8bb68e53bf97b12edc7f399f0a8ac63ce16f8e0480a1f05e086f,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x3a23f943181408eac424116af7b7790c94cb97a5,9993628141,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999598
19148372,1706969891,0x6bd80ce652d1ebf69447b72f0091f14e5a3cfa8b79f84d250eb2c67f044e1178,0xf2111264fb3159f5f9fb538e107ea0d27f40957d,0x3a23f943181408eac424116af7b7790c94cb97a5,410000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999613
19148415,1706970407,0x6308a92f8a3d6e49f852176772e825dc461b72db4eb799027668ae3fcf3ebd13,0x6f8ff8325b04bc0a63620fe7244e9a3c75ff2139,0x3a23f943181408eac424116af7b7790c94cb97a5,1389505038243305183836,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.785386
19148423,1706970503,0xb78d8dbabef37360cd3a71d07bafd4f13b7ff2955a9056a8b38129d91bcc732b,0xd00ec4669d2df2ceade770b43f51c27e3017b907,0x3a23f943181408eac424116af7b7790c94cb97a5,22905573076555667559,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.785551
19148467,1706971031,0xc43af658c35a5b69d9086a7153c2d67aed9fd755f9bb44dde0bc53c377859ed5,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,39650000,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.9996623051298772
19148469,1706971055,0xfb94e3758a3def6c21b46d4c63952182970e5b5f856f36aa7a0c300380d47003,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,19860754076692923,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2305.69
19148482,1706971211,0x15e48d248837beec6161deac76dfb16b4e15a307be8f1e6727ab96819a6957ac,0xd00ec4669d2df2ceade770b43f51c27e3017b907,0x3a23f943181408eac424116af7b7790c94cb97a5,20040913141496148198,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.785497
19148529,1706971775,0x7cf26194f5d49fc37acb69224e5dee8d0413e021f05379a34d6ded5ce3620f24,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,52021617655199704077,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.784502
19148529,1706971775,0x6f9ee32db08bf6c8c76527563df58a27353de538fe92f30130a577355058fd52,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x3a23f943181408eac424116af7b7790c94cb97a5,46009911,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999643
19148532,1706971811,0x051cb60997ad8f44739027345dbb216dfab9adf68ef68816acb1577c2e8af8db,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,86680916716522265816,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7845021305980218
19148552,1706972051,0x57faca509970926893d272e9c5428ee9194ef9145f32da623df0cd722c672926,0xab8410bb53ce7e27bd45b86ec7b3688159c512ec,0x3a23f943181408eac424116af7b7790c94cb97a5,3575364487,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19148557,1706972111,0x2eb820939285bdddea7e0d77cf5f8347dbdb1719581dbb81d7db0cffd06bf2c7,0xae66ecab11d3678ec09bb1a2c560cb609bae50a4,0x3a23f943181408eac424116af7b7790c94cb97a5,97468867125000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2298.91
19148574,1706972315,0x1523ea46476e2686c964acfb68a4b9830873f6b8790349222500920cddf31d89,0xae66ecab11d3678ec09bb1a2c560cb609bae50a4,0x3a23f943181408eac424116af7b7790c94cb97a5,337525720875000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,18,,2298.75
